LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT(₱),WINNERS
Superlotto 6/49,43-35-49-17-30-15,5/12/2022,"15,840,000.00",0
Lotto 6/42,15-20-33-37-10-02,5/12/2022,"11,692,275.80",0
6Digit,4-4-3-0-9-6,5/12/2022,"330,143.62",0
Suertres Lotto 11AM,9-5-2,5/12/2022,"4,500.00",248
Suertres Lotto 4PM,5-0-2,5/12/2022,"4,500.00",497
Suertres Lotto 9PM,2-2-8,5/12/2022,"4,500.00",514
EZ2 Lotto 11AM,01-10,5/12/2022,"4,000.00",262
EZ2 Lotto 4PM,02-04,5/12/2022,"4,000.00",153
EZ2 Lotto 9PM,14-15,5/12/2022,"4,000.00",594
Grand Lotto 6/55,31-11-45-07-54-08,5/11/2022,"91,722,175.60",0
Megalotto 6/45,36-06-27-45-35-09,5/11/2022,"21,417,572.20",0
4Digit,3-0-3-1,5/11/2022,"10,000.00",69
Suertres Lotto 11AM,1-1-0,5/11/2022,"4,500.00",1085
Suertres Lotto 4PM,3-1-1,5/11/2022,"4,500.00",411
Suertres Lotto 9PM,9-1-4,5/11/2022,"4,500.00",442
EZ2 Lotto 11AM,14-23,5/11/2022,"4,000.00",242
EZ2 Lotto 4PM,16-17,5/11/2022,"4,000.00",136
EZ2 Lotto 9PM,16-30,5/11/2022,"4,000.00",273
Ultra Lotto 6/58,46-29-10-38-48-56,5/10/2022,"73,122,256.00",0
Superlotto 6/49,44-05-17-48-13-43,5/10/2022,"71,360,581.00",1
Lotto 6/42,07-13-18-02-28-37,5/10/2022,"8,509,629.80",0
6Digit,3-7-5-5-7-5,5/10/2022,"2,620,460.00",1
Suertres Lotto 11AM,5-4-0,5/10/2022,"4,500.00",304
Suertres Lotto 4PM,6-2-4,5/10/2022,"4,500.00",240
Suertres Lotto 9PM,4-0-4,5/10/2022,"4,500.00",481
EZ2 Lotto 11AM,13-21,5/10/2022,"4,000.00",202
EZ2 Lotto 4PM,29-25,5/10/2022,"4,000.00",41
EZ2 Lotto 9PM,09-27,5/10/2022,"4,000.00",582
Grand Lotto 6/55,32-08-11-33-42-41,5/9/2022,"86,950,282.20",0
Megalotto 6/45,21-03-19-01-39-36,5/9/2022,"18,017,557.80",0
4Digit,4-7-9-2,5/9/2022,"23,884.00",27
Suertres Lotto 11AM,7-1-9,5/9/2022,"4,500.00",203
Suertres Lotto 4PM,8-9-7,5/9/2022,"4,500.00",115
Suertres Lotto 9PM,8-8-4,5/9/2022,"4,500.00",131
EZ2 Lotto 11AM,10-13,5/9/2022,"4,000.00",250
EZ2 Lotto 4PM,12-03,5/9/2022,"4,000.00",136
EZ2 Lotto 9PM,29-31,5/9/2022,"4,000.00",108
Ultra Lotto 6/58,25-53-56-14-48-06,5/8/2022,"69,961,695.00",0
Superlotto 6/49,18-24-04-26-47-36,5/8/2022,"67,522,822.80",0
Suertres Lotto 11AM,9-7-6,5/8/2022,"4,500.00",201
Suertres Lotto 4PM,1-3-9,5/8/2022,"4,500.00",279
Suertres Lotto 9PM,7-6-2,5/8/2022,"4,500.00",258
EZ2 Lotto 11AM,08-04,5/8/2022,"4,000.00",251
EZ2 Lotto 4PM,03-19,5/8/2022,"4,000.00",233
EZ2 Lotto 9PM,07-04,5/8/2022,"4,000.00",784
Grand Lotto 6/55,25-27-19-45-14-20,5/7/2022,"83,681,670.20",0
Lotto 6/42,14-24-08-16-22-37,5/7/2022,"6,051,682.00",0
6Digit,9-0-4-8-5-4,5/7/2022,"2,223,385.18",0
Suertres Lotto 11AM,2-8-5,5/7/2022,"4,500.00",303
Suertres Lotto 4PM,4-0-6,5/7/2022,"4,500.00",144
Suertres Lotto 9PM,2-5-7,5/7/2022,"4,500.00",553
EZ2 Lotto 11AM,16-11,5/7/2022,"4,000.00",180
EZ2 Lotto 4PM,30-21,5/7/2022,"4,000.00",42
EZ2 Lotto 9PM,19-09,5/7/2022,"4,000.00",279
Ultra Lotto 6/58,29-11-36-02-57-03,5/6/2022,"66,483,855.20",0
Megalotto 6/45,42-40-07-20-30-13,5/6/2022,"15,660,042.40",0
4Digit,7-8-4-4,5/6/2022,"19,992.00",36
Suertres Lotto 11AM,0-2-7,5/6/2022,"4,500.00",136
Suertres Lotto 4PM,9-4-8,5/6/2022,"4,500.00",111
Suertres Lotto 9PM,5-8-0,5/6/2022,"4,500.00",318
EZ2 Lotto 11AM,15-23,5/6/2022,"4,000.00",191
EZ2 Lotto 4PM,18-31,5/6/2022,"4,000.00",91
EZ2 Lotto 9PM,24-24,5/6/2022,"4,000.00",634
Superlotto 6/49,18-45-29-39-42-27,5/5/2022,"63,215,113.20",0
Lotto 6/42,19-07-04-41-23-09,5/5/2022,"5,940,000.00",0
6Digit,6-6-9-8-6-9,5/5/2022,"1,816,315.22",0
Suertres Lotto 11AM,0-6-2,5/5/2022,"4,500.00",90
Suertres Lotto 4PM,0-4-8,5/5/2022,"4,500.00",195
Suertres Lotto 9PM,7-0-9,5/5/2022,"4,500.00",336
EZ2 Lotto 11AM,15-27,5/5/2022,"4,000.00",251
EZ2 Lotto 4PM,27-28,5/5/2022,"4,000.00",163
EZ2 Lotto 9PM,25-01,5/5/2022,"4,000.00",123
Grand Lotto 6/55,23-42-34-25-48-41,5/4/2022,"78,828,589.60",0
Megalotto 6/45,42-22-12-25-33-23,5/4/2022,"12,393,992.60",0
4Digit,8-8-7-1,5/4/2022,"146,035.00",5
Suertres Lotto 11AM,2-0-2,5/4/2022,"4,500.00",612
Suertres Lotto 4PM,0-7-2,5/4/2022,"4,500.00",52
Suertres Lotto 9PM,8-3-8,5/4/2022,"4,500.00",189
EZ2 Lotto 11AM,01-04,5/4/2022,"4,000.00",246
EZ2 Lotto 4PM,03-09,5/4/2022,"4,000.00",256
EZ2 Lotto 9PM,29-24,5/4/2022,"4,000.00",173
Ultra Lotto 6/58,34-12-39-09-08-06,5/3/2022,"62,257,873.40",0
Superlotto 6/49,24-48-36-34-01-27,5/3/2022,"58,535,471.00",0
Lotto 6/42,07-22-19-20-40-10,5/3/2022,"51,412,148.00",1
6Digit,5-4-2-7-7-7,5/3/2022,"1,481,259.10",0
Suertres Lotto 11AM,3-2-7,5/3/2022,"4,500.00",302
Suertres Lotto 4PM,4-1-2,5/3/2022,"4,500.00",306
Suertres Lotto 9PM,6-4-8,5/3/2022,"4,500.00",363
EZ2 Lotto 11AM,18-30,5/3/2022,"4,000.00",246
EZ2 Lotto 4PM,12-17,5/3/2022,"4,000.00",195
EZ2 Lotto 9PM,24-26,5/3/2022,"4,000.00",253
Grand Lotto 6/55,50-09-29-36-37-52,5/2/2022,"74,281,644.60",0
Megalotto 6/45,09-02-20-26-37-13,5/2/2022,"9,287,719.80",0
4Digit,9-0-3-2,5/2/2022,"91,492.00",9
Suertres Lotto 11AM,1-0-3,5/2/2022,"4,500.00",1139
Suertres Lotto 4PM,8-8-5,5/2/2022,"4,500.00",132
Suertres Lotto 9PM,4-6-4,5/2/2022,"4,500.00",243
EZ2 Lotto 11AM,16-08,5/2/2022,"4,000.00",192
EZ2 Lotto 4PM,26-11,5/2/2022,"4,000.00",90
EZ2 Lotto 9PM,30-18,5/2/2022,"4,000.00",142
Ultra Lotto 6/58,02-23-06-58-18-21,5/1/2022,"59,236,931.20",0
Superlotto 6/49,35-04-29-38-31-30,5/1/2022,"55,232,752.00",0
Suertres Lotto 11AM,1-7-0,5/1/2022,"4,500.00",400
Suertres Lotto 4PM,1-9-7,5/1/2022,"4,500.00",330
Suertres Lotto 9PM,2-7-7,5/1/2022,"4,500.00",308
EZ2 Lotto 11AM,13-11,5/1/2022,"4,000.00",98
EZ2 Lotto 4PM,17-06,5/1/2022,"4,000.00",75
EZ2 Lotto 9PM,03-17,5/1/2022,"4,000.00",464
Grand Lotto 6/55,50-37-36-06-09-20,4/30/2022,"69,834,391.00",0
Lotto 6/42,17-25-21-33-39-04,4/30/2022,"47,018,808.20",0
6Digit,2-0-9-2-9-9,4/30/2022,"1,431,259.10",0
Suertres Lotto 11AM,1-0-0,4/30/2022,"4,500.00",1141
Suertres Lotto 4PM,9-6-1,4/30/2022,"4,500.00",176
Suertres Lotto 9PM,8-9-3,4/30/2022,"4,500.00",239
EZ2 Lotto 11AM,28-24,4/30/2022,"4,000.00",138
EZ2 Lotto 4PM,28-20,4/30/2022,"4,000.00",62
EZ2 Lotto 9PM,13-11,4/30/2022,"4,000.00",179
Ultra Lotto 6/58,49-42-17-20-33-31,4/29/2022,"55,792,337.20",0
Megalotto 6/45,19-44-09-41-07-42,4/29/2022,"8,910,000.00",0
4Digit,3-5-8-8,4/29/2022,"29,547.00",23
Suertres Lotto 11AM,1-3-6,4/29/2022,"4,500.00",316
Suertres Lotto 4PM,1-9-0,4/29/2022,"4,500.00",190
Suertres Lotto 9PM,1-7-3,4/29/2022,"4,500.00",518
EZ2 Lotto 11AM,07-03,4/29/2022,"4,000.00",249
EZ2 Lotto 4PM,18-04,4/29/2022,"4,000.00",159
EZ2 Lotto 9PM,23-14,4/29/2022,"4,000.00",223
Superlotto 6/49,07-31-46-02-06-03,4/28/2022,"51,095,013.40",0
Lotto 6/42,39-24-33-06-42-25,4/28/2022,"42,434,650.00",0
6Digit,8-0-9-0-8-8,4/28/2022,"1,029,517.06",0
Suertres Lotto 11AM,4-4-0,4/28/2022,"4,500.00",205
Suertres Lotto 4PM,9-3-2,4/28/2022,"4,500.00",129
Suertres Lotto 9PM,0-9-9,4/28/2022,"4,500.00",190
EZ2 Lotto 11AM,27-22,4/28/2022,"4,000.00",129
EZ2 Lotto 4PM,08-01,4/28/2022,"4,000.00",162
EZ2 Lotto 9PM,18-21,4/28/2022,"4,000.00",398
Grand Lotto 6/55,47-54-38-23-35-52,4/27/2022,"65,638,743.80",0
Megalotto 6/45,21-38-42-20-03-40,4/27/2022,"8,910,000.00",0
4Digit,0-4-6-9,4/27/2022,"30,691.00",22
Suertres Lotto 11AM,3-7-0,4/27/2022,"4,500.00",206
Suertres Lotto 4PM,6-4-9,4/27/2022,"4,500.00",214
Suertres Lotto 9PM,0-3-9,4/27/2022,"4,500.00",172
EZ2 Lotto 11AM,29-23,4/27/2022,"4,000.00",47
EZ2 Lotto 4PM,28-08,4/27/2022,"4,000.00",126
EZ2 Lotto 9PM,30-17,4/27/2022,"4,000.00",133
Ultra Lotto 6/58,52-18-30-22-49-20,4/26/2022,"51,683,779.20",0
Superlotto 6/49,27-15-17-13-29-28,4/26/2022,"47,201,477.20",0
Lotto 6/42,18-15-17-24-33-10,4/26/2022,"38,170,552.20",0
6Digit,0-7-8-5-5-0,4/26/2022,"624,536.50",0
Suertres Lotto 11AM,7-3-2,4/26/2022,"4,500.00",192
Suertres Lotto 4PM,5-5-9,4/26/2022,"4,500.00",151
Suertres Lotto 9PM,8-5-2,4/26/2022,"4,500.00",281
EZ2 Lotto 11AM,13-05,4/26/2022,"4,000.00",255
EZ2 Lotto 4PM,22-23,4/26/2022,"4,000.00",83
EZ2 Lotto 9PM,20-10,4/26/2022,"4,000.00",207
Grand Lotto 6/55,43-10-30-21-50-05,4/25/2022,"61,356,722.00",0
Megalotto 6/45,36-17-29-28-12-05,4/25/2022,"8,910,000.00",1
4Digit,9-9-1-9,4/25/2022,"30,209.00",15
Suertres Lotto 11AM,5-3-0,4/25/2022,"4,500.00",329
Suertres Lotto 4PM,4-1-9,4/25/2022,"4,500.00",343
Suertres Lotto 9PM,2-6-1,4/25/2022,"4,500.00",336
EZ2 Lotto 11AM,22-30,4/25/2022,"4,000.00",235
EZ2 Lotto 4PM,01-21,4/25/2022,"4,000.00",135
EZ2 Lotto 9PM,02-16,4/25/2022,"4,000.00",347
Ultra Lotto 6/58,02-15-08-51-09-45,4/24/2022,"49,500,000.00",0
Superlotto 6/49,32-02-38-30-29-41,4/24/2022,"43,999,664.20",0
Suertres Lotto 11AM,0-7-2,4/24/2022,"4,500.00",98
Suertres Lotto 4PM,3-2-9,4/24/2022,"4,500.00",150
Suertres Lotto 9PM,2-8-7,4/24/2022,"4,500.00",326
EZ2 Lotto 11AM,19-17,4/24/2022,"4,000.00",103
EZ2 Lotto 4PM,19-11,4/24/2022,"4,000.00",79
EZ2 Lotto 9PM,04-11,4/24/2022,"4,000.00",649
Grand Lotto 6/55,20-39-48-15-24-25,4/23/2022,"57,213,525.20",0
Lotto 6/42,21-37-28-22-39-02,4/23/2022,"34,194,443.60",0
6Digit,6-4-7-5-4-4,4/23/2022,"228,499.96",0
Suertres Lotto 11AM,8-3-5,4/23/2022,"4,500.00",204
Suertres Lotto 4PM,4-6-6,4/23/2022,"4,500.00",156
Suertres Lotto 9PM,5-1-2,4/23/2022,"4,500.00",564
EZ2 Lotto 11AM,12-18,4/23/2022,"4,000.00",225
EZ2 Lotto 4PM,04-10,4/23/2022,"4,000.00",243
EZ2 Lotto 9PM,08-29,4/23/2022,"4,000.00",578
Ultra Lotto 6/58,01-22-49-26-09-08,4/22/2022,"49,500,000.00",0
Megalotto 6/45,39-37-43-22-31-40,4/22/2022,"8,910,000.00",0
4Digit,6-1-5-6,4/22/2022,"112,525.00",6
Suertres Lotto 11AM,6-9-3,4/22/2022,"4,500.00",233
Suertres Lotto 4PM,1-4-9,4/22/2022,"4,500.00",308
Suertres Lotto 9PM,9-0-4,4/22/2022,"4,500.00",275
EZ2 Lotto 11AM,29-18,4/22/2022,"4,000.00",105
EZ2 Lotto 4PM,12-23,4/22/2022,"4,000.00",136
EZ2 Lotto 9PM,14-27,4/22/2022,"4,000.00",308
Superlotto 6/49,36-07-48-27-20-26,4/21/2022,"40,083,542.00",0
Lotto 6/42,29-35-12-36-07-03,4/21/2022,"30,084,914.40",0
6Digit,0-9-4-4-6-4,4/21/2022,"3,168,454.00",1
Suertres Lotto 11AM,2-8-1,4/21/2022,"4,500.00",222
Suertres Lotto 4PM,8-4-6,4/21/2022,"4,500.00",223
Suertres Lotto 9PM,8-7-1,4/21/2022,"4,500.00",194
EZ2 Lotto 11AM,04-06,4/21/2022,"4,000.00",144
EZ2 Lotto 4PM,21-11,4/21/2022,"4,000.00",113
EZ2 Lotto 9PM,04-02,4/21/2022,"4,000.00",599
Grand Lotto 6/55,15-46-42-43-27-34,4/20/2022,"53,348,024.40",0
Megalotto 6/45,42-05-10-30-27-19,4/20/2022,"33,070,560.40",1
4Digit,4-2-1-9,4/20/2022,"10,000.00",42
Suertres Lotto 11AM,7-5-1,4/20/2022,"4,500.00",277
Suertres Lotto 4PM,1-2-6,4/20/2022,"4,500.00",410
Suertres Lotto 9PM,6-0-6,4/20/2022,"4,500.00",207
EZ2 Lotto 11AM,17-09,4/20/2022,"4,000.00",195
EZ2 Lotto 4PM,10-19,4/20/2022,"4,000.00",195
EZ2 Lotto 9PM,26-01,4/20/2022,"4,000.00",139
Ultra Lotto 6/58,33-06-45-08-42-38,4/19/2022,"49,500,000.00",0
Superlotto 6/49,41-46-38-06-15-21,4/19/2022,"36,298,848.60",0
Lotto 6/42,10-11-08-30-29-26,4/19/2022,"26,208,227.40",0
6Digit,2-1-5-0-5-0,4/19/2022,"2,829,265.86",0
Suertres Lotto 11AM,0-6-5,4/19/2022,"4,500.00",115
Suertres Lotto 4PM,8-1-8,4/19/2022,"4,500.00",307
Suertres Lotto 9PM,7-1-2,4/19/2022,"4,500.00",377
EZ2 Lotto 11AM,23-12,4/19/2022,"4,000.00",75
EZ2 Lotto 4PM,04-06,4/19/2022,"4,000.00",199
EZ2 Lotto 9PM,09-30,4/19/2022,"4,000.00",339
Grand Lotto 6/55,24-18-52-42-19-37,4/18/2022,"49,610,541.20",0
Megalotto 6/45,17-25-07-05-10-08,4/18/2022,"29,121,777.00",0
4Digit,5-2-8-2,4/18/2022,"101,152.00",8
Suertres Lotto 11AM,8-3-9,4/18/2022,"4,500.00",181
Suertres Lotto 4PM,3-5-5,4/18/2022,"4,500.00",124
Suertres Lotto 9PM,3-6-8,4/18/2022,"4,500.00",392
EZ2 Lotto 11AM,27-20,4/18/2022,"4,000.00",75
EZ2 Lotto 4PM,03-28,4/18/2022,"4,000.00",247
EZ2 Lotto 9PM,29-20,4/18/2022,"4,000.00",167
Grand Lotto 6/55,30-45-55-21-06-51,4/13/2022,"45,842,548.40",0
Megalotto 6/45,34-03-06-15-44-08,4/13/2022,"25,224,716.20",0
4Digit,0-5-4-1,4/13/2022,"60,138.00",13
Suertres Lotto 11AM,1-3-9,4/13/2022,"4,500.00",490
Suertres Lotto 4PM,4-7-8,4/13/2022,"4,500.00",189
Suertres Lotto 9PM,5-1-7,4/13/2022,"4,500.00",961
EZ2 Lotto 11AM,19-22,4/13/2022,"4,000.00",176
EZ2 Lotto 4PM,14-20,4/13/2022,"4,000.00",129
EZ2 Lotto 9PM,04-25,4/13/2022,"4,000.00",583
Ultra Lotto 6/58,51-53-42-07-55-12,4/12/2022,"49,500,000.00",0
Superlotto 6/49,16-18-47-08-07-17,4/12/2022,"32,985,244.00",0
Lotto 6/42,04-26-28-02-05-03,4/12/2022,"22,509,413.00",0
6Digit,3-0-4-6-9-9,4/12/2022,"2,725,672.28",0
Suertres Lotto 11AM,8-6-6,4/12/2022,"4,500.00",157
Suertres Lotto 4PM,7-4-2,4/12/2022,"4,500.00",112
Suertres Lotto 9PM,8-0-7,4/12/2022,"4,500.00",429
EZ2 Lotto 11AM,10-14,4/12/2022,"4,000.00",237
EZ2 Lotto 4PM,08-16,4/12/2022,"4,000.00",145
EZ2 Lotto 9PM,02-06,4/12/2022,"4,000.00",200
Grand Lotto 6/55,55-32-24-37-40-04,4/11/2022,"42,071,986.60",0
Megalotto 6/45,08-39-05-16-31-32,4/11/2022,"21,334,438.20",0
4Digit,7-3-3-4,4/11/2022,"74,160.00",10
Suertres Lotto 11AM,0-4-3,4/11/2022,"4,500.00",88
Suertres Lotto 4PM,9-5-4,4/11/2022,"4,500.00",148
Suertres Lotto 9PM,7-7-8,4/11/2022,"4,500.00",129
EZ2 Lotto 11AM,08-19,4/11/2022,"4,000.00",224
EZ2 Lotto 4PM,23-18,4/11/2022,"4,000.00",73
EZ2 Lotto 9PM,26-20,4/11/2022,"4,000.00",129
Ultra Lotto 6/58,14-34-48-31-22-04,4/10/2022,"49,500,000.00",0
Superlotto 6/49,18-23-03-26-11-35,4/10/2022,"30,008,180.00",0
Suertres Lotto 11AM,5-6-1,4/10/2022,"4,500.00",140
Suertres Lotto 4PM,6-0-6,4/10/2022,"4,500.00",135
Suertres Lotto 9PM,2-6-8,4/10/2022,"4,500.00",277
EZ2 Lotto 11AM,09-04,4/10/2022,"4,000.00",270
EZ2 Lotto 4PM,03-11,4/10/2022,"4,000.00",165
EZ2 Lotto 9PM,29-28,4/10/2022,"4,000.00",71
Grand Lotto 6/55,50-44-17-52-01-41,4/9/2022,"38,553,171.00",0
Lotto 6/42,16-27-09-31-07-14,4/9/2022,"19,174,546.00",0
6Digit,4-3-9-6-8-6,4/9/2022,"2,222,234.56",0
Suertres Lotto 11AM,8-0-0,4/9/2022,"4,500.00",345
Suertres Lotto 4PM,5-2-8,4/9/2022,"4,500.00",351
Suertres Lotto 9PM,9-7-9,4/9/2022,"4,500.00",192
EZ2 Lotto 11AM,07-25,4/9/2022,"4,000.00",277
EZ2 Lotto 4PM,21-14,4/9/2022,"4,000.00",168
EZ2 Lotto 9PM,02-06,4/9/2022,"4,000.00",437
Ultra Lotto 6/58,55-42-48-20-12-19,4/8/2022,"49,500,000.00",0
Megalotto 6/45,35-28-05-44-14-27,4/8/2022,"17,690,457.00",0
4Digit,4-9-9-5,4/8/2022,"62,356.00",13
Suertres Lotto 11AM,4-5-7,4/8/2022,"4,500.00",362
Suertres Lotto 4PM,6-5-6,4/8/2022,"4,500.00",216
Suertres Lotto 9PM,3-4-0,4/8/2022,"4,500.00",326
EZ2 Lotto 11AM,17-24,4/8/2022,"4,000.00",235
EZ2 Lotto 4PM,28-14,4/8/2022,"4,000.00",49
EZ2 Lotto 9PM,21-18,4/8/2022,"4,000.00",281
Superlotto 6/49,01-02-26-24-30-38,4/7/2022,"26,291,880.00",0
Lotto 6/42,42-36-27-25-33-22,4/7/2022,"15,547,657.40",0
6Digit,1-9-0-3-7-5,4/7/2022,"1,736,424.10",0
Suertres Lotto 11AM,2-0-3,4/7/2022,"4,500.00",390
Suertres Lotto 4PM,3-6-7,4/7/2022,"4,500.00",216
Suertres Lotto 9PM,5-7-5,4/7/2022,"4,500.00",267
EZ2 Lotto 11AM,22-18,4/7/2022,"4,000.00",155
EZ2 Lotto 4PM,13-23,4/7/2022,"4,000.00",119
EZ2 Lotto 9PM,08-21,4/7/2022,"4,000.00",567
Grand Lotto 6/55,43-26-53-44-06-23,4/6/2022,"34,897,519.20",0
Megalotto 6/45,16-38-05-32-31-25,4/6/2022,"14,081,972.40",0
4Digit,9-1-8-0,4/6/2022,"194,448.00",4
Suertres Lotto 11AM,9-2-6,4/6/2022,"4,500.00",289
Suertres Lotto 4PM,2-4-3,4/6/2022,"4,500.00",115
Suertres Lotto 9PM,5-0-8,4/6/2022,"4,500.00",423
EZ2 Lotto 11AM,26-08,4/6/2022,"4,000.00",82
EZ2 Lotto 4PM,25-21,4/6/2022,"4,000.00",58
EZ2 Lotto 9PM,15-06,4/6/2022,"4,000.00",193
Ultra Lotto 6/58,36-28-29-56-46-34,4/5/2022,"49,500,000.00",0
Superlotto 6/49,24-25-12-19-22-28,4/5/2022,"22,428,835.80",0
Lotto 6/42,31-22-37-04-34-05,4/5/2022,"12,124,273.00",0
6Digit,7-5-9-4-2-9,4/5/2022,"1,419,377.84",0
Suertres Lotto 11AM,5-0-0,4/5/2022,"4,500.00",832
Suertres Lotto 4PM,8-5-1,4/5/2022,"4,500.00",208
Suertres Lotto 9PM,0-5-1,4/5/2022,"4,500.00",528
EZ2 Lotto 11AM,19-19,4/5/2022,"4,000.00",274
EZ2 Lotto 4PM,14-21,4/5/2022,"4,000.00",66
EZ2 Lotto 9PM,23-22,4/5/2022,"4,000.00",122
Grand Lotto 6/55,02-25-37-01-53-48,4/4/2022,"31,149,556.60",0
Megalotto 6/45,07-39-28-43-35-29,4/4/2022,"10,573,205.60",0
4Digit,2-7-8-8,4/4/2022,"27,343.00",26
Suertres Lotto 11AM,0-9-1,4/4/2022,"4,500.00",93
Suertres Lotto 4PM,9-3-0,4/4/2022,"4,500.00",225
Suertres Lotto 9PM,7-8-9,4/4/2022,"4,500.00",281
EZ2 Lotto 11AM,06-01,4/4/2022,"4,000.00",242
EZ2 Lotto 4PM,14-28,4/4/2022,"4,000.00",135
EZ2 Lotto 9PM,26-12,4/4/2022,"4,000.00",260
Ultra Lotto 6/58,42-05-11-22-03-02,4/3/2022,"49,500,000.00",0
Superlotto 6/49,49-48-17-02-47-37,4/3/2022,"19,830,899.20",0
Suertres Lotto 11AM,2-4-7,4/3/2022,"4,500.00",320
Suertres Lotto 4PM,6-3-4,4/3/2022,"4,500.00",116
Suertres Lotto 9PM,4-4-6,4/3/2022,"4,500.00",577
EZ2 Lotto 11AM,24-04,4/3/2022,"4,000.00",279
EZ2 Lotto 4PM,11-31,4/3/2022,"4,000.00",54
EZ2 Lotto 9PM,25-18,4/3/2022,"4,000.00",267
Grand Lotto 6/55,17-35-49-33-16-31,4/2/2022,"29,700,000.00",0
Lotto 6/42,16-38-19-18-25-34,4/2/2022,"9,452,158.80",0
6Digit,8-0-6-7-0-6,4/2/2022,"1,073,546.98",0
Suertres Lotto 11AM,5-6-3,4/2/2022,"4,500.00",524
Suertres Lotto 4PM,0-3-5,4/2/2022,"4,500.00",135
Suertres Lotto 9PM,4-0-6,4/2/2022,"4,500.00",440
EZ2 Lotto 11AM,27-25,4/2/2022,"4,000.00",136
EZ2 Lotto 4PM,23-17,4/2/2022,"4,000.00",92
EZ2 Lotto 9PM,24-01,4/2/2022,"4,000.00",111
Ultra Lotto 6/58,10-21-49-48-25-05,4/1/2022,"49,500,000.00",0
Megalotto 6/45,10-11-42-02-01-37,4/1/2022,"8,910,000.00",0
4Digit,1-8-8-5,4/1/2022,"12,938.00",62
Suertres Lotto 11AM,4-0-8,4/1/2022,"4,500.00",317
Suertres Lotto 4PM,3-2-8,4/1/2022,"4,500.00",478
Suertres Lotto 9PM,2-4-6,4/1/2022,"4,500.00",437
EZ2 Lotto 11AM,16-20,4/1/2022,"4,000.00",142
EZ2 Lotto 4PM,29-22,4/1/2022,"4,000.00",56
EZ2 Lotto 9PM,03-05,4/1/2022,"4,000.00",649
Superlotto 6/49,17-49-09-46-43-26,3/31/2022,"16,219,692.60",0
Lotto 6/42,27-17-19-16-33-36,3/31/2022,"6,111,716.80",0
6Digit,7-5-1-1-1-8,3/31/2022,"1,023,546.98",0
Suertres Lotto 11AM,9-6-4,3/31/2022,"4,500.00",125
Suertres Lotto 4PM,6-2-9,3/31/2022,"4,500.00",284
Suertres Lotto 9PM,1-9-0,3/31/2022,"4,500.00",270
EZ2 Lotto 11AM,18-24,3/31/2022,"4,000.00",239
EZ2 Lotto 4PM,27-06,3/31/2022,"4,000.00",140
EZ2 Lotto 9PM,08-07,3/31/2022,"4,000.00",422
Grand Lotto 6/55,52-17-19-10-54-22,3/30/2022,"29,700,000.00",0
Megalotto 6/45,07-34-01-08-21-37,3/30/2022,"8,910,000.00",0
4Digit,5-5-0-4,3/30/2022,"30,133.00",23
Suertres Lotto 11AM,3-2-7,3/30/2022,"4,500.00",456
Suertres Lotto 4PM,5-4-2,3/30/2022,"4,500.00",133
Suertres Lotto 9PM,1-1-7,3/30/2022,"4,500.00",885
EZ2 Lotto 11AM,03-25,3/30/2022,"4,000.00",256
EZ2 Lotto 4PM,11-25,3/30/2022,"4,000.00",190
EZ2 Lotto 9PM,22-19,3/30/2022,"4,000.00",134
Ultra Lotto 6/58,38-53-02-32-51-37,3/29/2022,"49,500,000.00",0
Superlotto 6/49,31-10-37-25-35-18,3/29/2022,"15,840,000.00",0
Lotto 6/42,35-37-08-26-04-20,3/29/2022,"5,940,000.00",0
6Digit,8-1-7-6-7-2,3/29/2022,"973,546.98",0
Suertres Lotto 11AM,4-8-5,3/29/2022,"4,500.00",247
Suertres Lotto 4PM,2-6-2,3/29/2022,"4,500.00",162
Suertres Lotto 9PM,0-9-7,3/29/2022,"4,500.00",135
EZ2 Lotto 11AM,31-19,3/29/2022,"4,000.00",74
EZ2 Lotto 4PM,07-12,3/29/2022,"4,000.00",280
EZ2 Lotto 9PM,30-03,3/29/2022,"4,000.00",590
Grand Lotto 6/55,29-51-23-34-55-08,3/28/2022,"29,700,000.00",0
Megalotto 6/45,07-25-08-03-12-05,3/28/2022,"42,282,132.80",1
4Digit,1-9-8-4,3/28/2022,"10,000.00",102
Suertres Lotto 11AM,5-1-3,3/28/2022,"4,500.00",379
Suertres Lotto 4PM,3-2-9,3/28/2022,"4,500.00",670
Suertres Lotto 9PM,2-9-9,3/28/2022,"4,500.00",498
EZ2 Lotto 11AM,01-30,3/28/2022,"4,000.00",258
EZ2 Lotto 4PM,26-29,3/28/2022,"4,000.00",109
EZ2 Lotto 9PM,19-06,3/28/2022,"4,000.00",154
Ultra Lotto 6/58,19-42-22-10-02-40,3/27/2022,"49,500,000.00",0
Superlotto 6/49,34-10-35-20-49-27,3/27/2022,"15,840,000.00",0
Suertres Lotto 11AM,7-2-3,3/27/2022,"4,500.00",327
Suertres Lotto 4PM,4-1-8,3/27/2022,"4,500.00",424
Suertres Lotto 9PM,7-8-7,3/27/2022,"4,500.00",170
EZ2 Lotto 11AM,10-07,3/27/2022,"4,000.00",177
EZ2 Lotto 4PM,13-24,3/27/2022,"4,000.00",98
EZ2 Lotto 9PM,01-22,3/27/2022,"4,000.00",251
Grand Lotto 6/55,27-51-16-28-04-18,3/26/2022,"29,700,000.00",0
Lotto 6/42,25-41-35-39-14-26,3/26/2022,"31,209,194.00",1
